,Unnamed: 0,geo_value,date,direction,issue,lag,full_time_work_prop,stderr,sample_size,fips,aggregate_level,state
53,53,wi,2019-01-01,,2020-06-23,539,0.025619443174046002,0.00035061572893235,4472,55,state,WI
54,54,wv,2019-01-01,,2020-06-23,539,0.028086011969691998,0.0006636319038505201,1591,54,state,WV
55,55,wy,2019-01-01,,2020-06-23,539,0.023642081106048,0.0009765352075799199,410,56,state,WY
56,0,ak,2019-01-02,,2020-06-23,538,0.043653838138213,0.0018504776766655,527,02,state,AK
57,1,al,2019-01-02,,2020-06-23,538,0.045533980592171,0.0004902462406662799,3433,01,state,AL
58,2,ar,2019-01-02,,2020-06-23,538,0.052496473420046,0.0007317357794207,2145,05,state,AR
59,3,as,2019-01-02,,2020-06-23,538,0.089335480922079,0.0072639832646324,33,60,state,AS
60,4,az,2019-01-02,,2020-06-23,538,0.043389661965579,0.00048921263808116,4165,04,state,AZ
61,5,ca,2019-01-02,,2020-06-23,538,0.050455372091469004,0.00024002992790182997,23123,06,state,CA
62,6,co,2019-01-02,,2020-06-23,538,0.057470878493149996,0.00062415679588303,3521,08,state,CO
63,7,ct,2019-01-02,,2020-06-23,538,0.09317269897228,0.0011364379904583,2578,09,state,CT
64,8,dc,2019-01-02,,2020-06-23,538,0.064828660923325,0.0015936864203856,449,11,state,DC
65,9,de,2019-01-02,,2020-06-23,538,0.072358688981209,0.0018059045555019,562,10,state,DE
66,10,fl,2019-01-02,,2020-06-23,538,0.047867093451858,0.00025837764174831,11370,12,state,FL
67,11,ga,2019-01-02,,2020-06-23,538,0.044723884110808,0.00035033033589693,5521,13,state,GA
68,12,gu,2019-01-02,,2020-06-23,538,0.07946515877001101,0.0034394073609134,163,66,state,GU
69,13,hi,2019-01-02,,2020-06-23,538,0.026295366022435002,0.0007376679172276901,834,15,state,HI
70,14,ia,2019-01-02,,2020-06-23,538,0.070752727775981,0.0008409229383839299,2627,19,state,IA
71,15,id,2019-01-02,,2020-06-23,538,0.047757030625251,0.0010186360961735,960,16,state,ID
