,Unnamed: 0,geo_value,date,direction,issue,lag,median_home_dwell_time,stderr,sample_size,fips,aggregate_level,state
56,0,ak,2019-01-02,,2020-06-20,535,497.62618595824995,10.222467397158999,527,02,state,AK
57,1,al,2019-01-02,,2020-06-20,535,620.4954849985401,3.248044073985,3433,01,state,AL
58,2,ar,2019-01-02,,2020-06-20,535,626.27692307692,4.0031344676371,2145,05,state,AR
59,3,as,2019-01-02,,2020-06-20,535,407.15151515152,63.927087983524,33,60,state,AS
60,4,az,2019-01-02,,2020-06-20,535,638.79807923169,3.2940728234204,4165,04,state,AZ
61,5,ca,2019-01-02,,2020-06-20,535,659.60381438395,1.3243319107602,23123,06,state,CA
62,6,co,2019-01-02,,2020-06-20,535,604.52201079239,3.5738671733911,3521,08,state,CO
63,7,ct,2019-01-02,,2020-06-20,535,617.5438324282401,3.5706704161001004,2578,09,state,CT
64,8,dc,2019-01-02,,2020-06-20,535,460.61247216035997,8.958746575454,449,11,state,DC
65,9,de,2019-01-02,,2020-06-20,535,602.89145907473,7.865701161323299,562,10,state,DE
66,10,fl,2019-01-02,,2020-06-20,535,596.30255057168,1.7771764926148,11370,12,state,FL
67,11,ga,2019-01-02,,2020-06-20,535,607.82792972288,2.6495553947829,5521,13,state,GA
68,12,gu,2019-01-02,,2020-06-20,535,572.69325153374,21.420884683769,163,66,state,GU
69,13,hi,2019-01-02,,2020-06-20,535,604.73621103118,6.9945119921175,834,15,state,HI
70,14,ia,2019-01-02,,2020-06-20,535,640.26608298439,3.7732729212842,2627,19,state,IA
71,15,id,2019-01-02,,2020-06-20,535,608.54895833333,6.5684626195937,960,16,state,ID
72,16,il,2019-01-02,,2020-06-20,535,637.15168423228,2.0913749138564,9678,17,state,IL
73,17,in,2019-01-02,,2020-06-20,535,614.72712146423,2.8800090943927,4808,18,state,IN
74,18,ks,2019-01-02,,2020-06-20,535,633.40707587383,3.8781865722138,2346,20,state,KS
75,19,ky,2019-01-02,,2020-06-20,535,618.8749237339799,3.3540178572615,3278,21,state,KY
76,20,la,2019-01-02,,2020-06-20,535,581.11130434783,3.3856831413108996,3450,22,state,LA
77,21,ma,2019-01-02,,2020-06-20,535,568.8673921805699,2.9008558822054,4962,25,state,MA
78,22,md,2019-01-02,,2020-06-20,535,599.39825730395,2.9701385542168,3902,24,state,MD
79,23,me,2019-01-02,,2020-06-20,535,514.07376283847,5.71490328226,1071,23,state,ME
80,24,mi,2019-01-02,,2020-06-20,535,603.6772447724501,2.2384866991807,8130,26,state,MI
81,25,mn,2019-01-02,,2020-06-20,535,579.8572124756299,3.0265246468441003,4104,27,state,MN
82,26,mo,2019-01-02,,2020-06-20,535,642.55962691539,2.9229761866991,4503,29,state,MO
83,27,mp,2019-01-02,,2020-06-20,535,459.2272727272701,36.967900246893,44,69,state,MP
84,28,ms,2019-01-02,,2020-06-20,535,587.63792304126,4.1943267051325,2157,28,state,MS
85,29,mt,2019-01-02,,2020-06-20,535,555.91278375149,7.6392760241722,837,30,state,MT
86,30,nc,2019-01-02,,2020-06-20,535,567.33366045142,2.4989471720852996,6114,37,state,NC
87,31,nd,2019-01-02,,2020-06-20,535,543.19614711033,8.3149446602189,571,38,state,ND
88,32,ne,2019-01-02,,2020-06-20,535,620.85039852851,4.7853052495854005,1631,31,state,NE
89,33,nh,2019-01-02,,2020-06-20,535,587.50705754615,6.1045852564249,921,33,state,NH
90,34,nj,2019-01-02,,2020-06-20,535,651.28125994273,2.2083381017857997,6286,34,state,NJ
91,35,nm,2019-01-02,,2020-06-20,535,602.9585062240701,6.116324634672401,1446,35,state,NM
92,36,nv,2019-01-02,,2020-06-20,535,651.9835345773901,4.5997894610316,1822,32,state,NV
93,37,ny,2019-01-02,,2020-06-20,535,602.36687286128,1.5796297117273999,15196,36,state,NY
94,38,oh,2019-01-02,,2020-06-20,535,632.26173696194,2.1163870730596,9223,39,state,OH
95,39,ok,2019-01-02,,2020-06-20,535,614.87195945946,3.3449037203597998,2960,40,state,OK
96,40,or,2019-01-02,,2020-06-20,535,638.60182717929,4.0713344678039,2627,41,state,OR
97,41,pa,2019-01-02,,2020-06-20,535,613.0962863902901,2.0065631631514,9721,42,state,PA
98,42,pr,2019-01-02,,2020-06-20,535,488.98057867617996,4.3002354225107,2523,72,state,PR
99,43,ri,2019-01-02,,2020-06-20,535,591.03965303594,7.2646715189857005,807,44,state,RI
