index,model_abbr,region_id,forecast_date,target_date,target_type,value
736,COVIDhub-ensemble,1033,2020-09-07,2020-09-14,cases,55.0
744,COVIDhub-ensemble,1033,2020-09-07,2020-09-21,cases,54.0
752,COVIDhub-ensemble,1033,2020-09-07,2020-09-28,cases,52.0
760,COVIDhub-ensemble,1033,2020-09-07,2020-10-05,cases,52.0
768,COVIDhub-ensemble,1035,2020-09-07,2020-09-14,cases,5.0
776,COVIDhub-ensemble,1035,2020-09-07,2020-09-21,cases,2.0
784,COVIDhub-ensemble,1035,2020-09-07,2020-09-28,cases,2.0
792,COVIDhub-ensemble,1035,2020-09-07,2020-10-05,cases,2.0
800,COVIDhub-ensemble,1037,2020-09-07,2020-09-14,cases,1.0
808,COVIDhub-ensemble,1037,2020-09-07,2020-09-21,cases,1.0
816,COVIDhub-ensemble,1037,2020-09-07,2020-09-28,cases,2.0
824,COVIDhub-ensemble,1037,2020-09-07,2020-10-05,cases,2.0
832,COVIDhub-ensemble,1039,2020-09-07,2020-09-14,cases,13.0
840,COVIDhub-ensemble,1039,2020-09-07,2020-09-21,cases,14.0
848,COVIDhub-ensemble,1039,2020-09-07,2020-09-28,cases,13.0
856,COVIDhub-ensemble,1039,2020-09-07,2020-10-05,cases,14.0
864,COVIDhub-ensemble,1041,2020-09-07,2020-09-14,cases,11.0
872,COVIDhub-ensemble,1041,2020-09-07,2020-09-21,cases,11.0
880,COVIDhub-ensemble,1041,2020-09-07,2020-09-28,cases,10.0
888,COVIDhub-ensemble,1041,2020-09-07,2020-10-05,cases,10.0
896,COVIDhub-ensemble,1043,2020-09-07,2020-09-14,cases,35.0
904,COVIDhub-ensemble,1043,2020-09-07,2020-09-21,cases,37.0
912,COVIDhub-ensemble,1043,2020-09-07,2020-09-28,cases,33.0
920,COVIDhub-ensemble,1043,2020-09-07,2020-10-05,cases,32.0
928,COVIDhub-ensemble,1045,2020-09-07,2020-09-14,cases,29.0
936,COVIDhub-ensemble,1045,2020-09-07,2020-09-21,cases,26.0
944,COVIDhub-ensemble,1045,2020-09-07,2020-09-28,cases,25.0
952,COVIDhub-ensemble,1045,2020-09-07,2020-10-05,cases,22.0
960,COVIDhub-ensemble,1047,2020-09-07,2020-09-14,cases,24.0
968,COVIDhub-ensemble,1047,2020-09-07,2020-09-21,cases,21.0
976,COVIDhub-ensemble,1047,2020-09-07,2020-09-28,cases,21.0
984,COVIDhub-ensemble,1047,2020-09-07,2020-10-05,cases,21.0
992,COVIDhub-ensemble,1049,2020-09-07,2020-09-14,cases,48.0
1000,COVIDhub-ensemble,1049,2020-09-07,2020-09-21,cases,50.0
1008,COVIDhub-ensemble,1049,2020-09-07,2020-09-28,cases,47.0
1016,COVIDhub-ensemble,1049,2020-09-07,2020-10-05,cases,47.0
1024,COVIDhub-ensemble,1051,2020-09-07,2020-09-14,cases,103.0
1032,COVIDhub-ensemble,1051,2020-09-07,2020-09-21,cases,103.0
1040,COVIDhub-ensemble,1051,2020-09-07,2020-09-28,cases,98.0
1048,COVIDhub-ensemble,1051,2020-09-07,2020-10-05,cases,93.0
1056,COVIDhub-ensemble,1053,2020-09-07,2020-09-14,cases,34.0
1064,COVIDhub-ensemble,1053,2020-09-07,2020-09-21,cases,28.0
1072,COVIDhub-ensemble,1053,2020-09-07,2020-09-28,cases,23.0
1080,COVIDhub-ensemble,1053,2020-09-07,2020-10-05,cases,20.0
1088,COVIDhub-ensemble,1055,2020-09-07,2020-09-14,cases,93.0
1096,COVIDhub-ensemble,1055,2020-09-07,2020-09-21,cases,75.0
1104,COVIDhub-ensemble,1055,2020-09-07,2020-09-28,cases,79.0
1112,COVIDhub-ensemble,1055,2020-09-07,2020-10-05,cases,78.0
1120,COVIDhub-ensemble,1057,2020-09-07,2020-09-14,cases,22.0
1128,COVIDhub-ensemble,1057,2020-09-07,2020-09-21,cases,22.0
1136,COVIDhub-ensemble,1057,2020-09-07,2020-09-28,cases,22.0
1144,COVIDhub-ensemble,1057,2020-09-07,2020-10-05,cases,22.0
1152,COVIDhub-ensemble,1059,2020-09-07,2020-09-14,cases,60.0
1160,COVIDhub-ensemble,1059,2020-09-07,2020-09-21,cases,59.0
1168,COVIDhub-ensemble,1059,2020-09-07,2020-09-28,cases,61.0
1176,COVIDhub-ensemble,1059,2020-09-07,2020-10-05,cases,60.0
1184,COVIDhub-ensemble,1061,2020-09-07,2020-09-14,cases,20.0
1192,COVIDhub-ensemble,1061,2020-09-07,2020-09-21,cases,21.0
1200,COVIDhub-ensemble,1061,2020-09-07,2020-09-28,cases,20.0
1208,COVIDhub-ensemble,1061,2020-09-07,2020-10-05,cases,20.0
1216,COVIDhub-ensemble,1063,2020-09-07,2020-09-14,cases,4.0
1224,COVIDhub-ensemble,1063,2020-09-07,2020-09-21,cases,5.0
1232,COVIDhub-ensemble,1063,2020-09-07,2020-09-28,cases,5.0
1240,COVIDhub-ensemble,1063,2020-09-07,2020-10-05,cases,4.0
1248,COVIDhub-ensemble,1065,2020-09-07,2020-09-14,cases,8.0
1256,COVIDhub-ensemble,1065,2020-09-07,2020-09-21,cases,9.0
1264,COVIDhub-ensemble,1065,2020-09-07,2020-09-28,cases,9.0
1272,COVIDhub-ensemble,1065,2020-09-07,2020-10-05,cases,9.0
1280,COVIDhub-ensemble,1067,2020-09-07,2020-09-14,cases,19.0
1288,COVIDhub-ensemble,1067,2020-09-07,2020-09-21,cases,19.0
1296,COVIDhub-ensemble,1067,2020-09-07,2020-09-28,cases,19.0
1304,COVIDhub-ensemble,1067,2020-09-07,2020-10-05,cases,19.0
1312,COVIDhub-ensemble,1069,2020-09-07,2020-09-14,cases,100.0
1320,COVIDhub-ensemble,1069,2020-09-07,2020-09-21,cases,82.0
1328,COVIDhub-ensemble,1069,2020-09-07,2020-09-28,cases,80.0
1336,COVIDhub-ensemble,1069,2020-09-07,2020-10-05,cases,78.0
1344,COVIDhub-ensemble,1071,2020-09-07,2020-09-14,cases,55.0
1352,COVIDhub-ensemble,1071,2020-09-07,2020-09-21,cases,52.0
1360,COVIDhub-ensemble,1071,2020-09-07,2020-09-28,cases,46.0
1368,COVIDhub-ensemble,1071,2020-09-07,2020-10-05,cases,40.0
1376,COVIDhub-ensemble,1073,2020-09-07,2020-09-14,cases,805.0
1384,COVIDhub-ensemble,1073,2020-09-07,2020-09-21,cases,700.0
1392,COVIDhub-ensemble,1073,2020-09-07,2020-09-28,cases,635.0
1400,COVIDhub-ensemble,1073,2020-09-07,2020-10-05,cases,548.0
1408,COVIDhub-ensemble,1075,2020-09-07,2020-09-14,cases,11.0
1416,COVIDhub-ensemble,1075,2020-09-07,2020-09-21,cases,9.0
1424,COVIDhub-ensemble,1075,2020-09-07,2020-09-28,cases,9.0
1432,COVIDhub-ensemble,1075,2020-09-07,2020-10-05,cases,8.0
1440,COVIDhub-ensemble,1077,2020-09-07,2020-09-14,cases,64.0
1448,COVIDhub-ensemble,1077,2020-09-07,2020-09-21,cases,67.0
1456,COVIDhub-ensemble,1077,2020-09-07,2020-09-28,cases,66.0
1464,COVIDhub-ensemble,1077,2020-09-07,2020-10-05,cases,65.0
1472,COVIDhub-ensemble,1079,2020-09-07,2020-09-14,cases,53.0
1480,COVIDhub-ensemble,1079,2020-09-07,2020-09-21,cases,52.0
1488,COVIDhub-ensemble,1079,2020-09-07,2020-09-28,cases,47.0
1496,COVIDhub-ensemble,1079,2020-09-07,2020-10-05,cases,44.0
1504,COVIDhub-ensemble,1081,2020-09-07,2020-09-14,cases,258.0
1512,COVIDhub-ensemble,1081,2020-09-07,2020-09-21,cases,230.0
1520,COVIDhub-ensemble,1081,2020-09-07,2020-09-28,cases,225.0
1528,COVIDhub-ensemble,1081,2020-09-07,2020-10-05,cases,219.0
1536,COVIDhub-ensemble,1083,2020-09-07,2020-09-14,cases,74.0
1544,COVIDhub-ensemble,1083,2020-09-07,2020-09-21,cases,66.0
1552,COVIDhub-ensemble,1083,2020-09-07,2020-09-28,cases,63.0
1560,COVIDhub-ensemble,1083,2020-09-07,2020-10-05,cases,62.0
1568,COVIDhub-ensemble,1085,2020-09-07,2020-09-14,cases,4.0
1576,COVIDhub-ensemble,1085,2020-09-07,2020-09-21,cases,2.0
1584,COVIDhub-ensemble,1085,2020-09-07,2020-09-28,cases,2.0
1592,COVIDhub-ensemble,1085,2020-09-07,2020-10-05,cases,2.0
1600,COVIDhub-ensemble,1087,2020-09-07,2020-09-14,cases,15.0
1608,COVIDhub-ensemble,1087,2020-09-07,2020-09-21,cases,17.0
1616,COVIDhub-ensemble,1087,2020-09-07,2020-09-28,cases,16.0
1624,COVIDhub-ensemble,1087,2020-09-07,2020-10-05,cases,14.0
1632,COVIDhub-ensemble,1089,2020-09-07,2020-09-14,cases,352.0
1640,COVIDhub-ensemble,1089,2020-09-07,2020-09-21,cases,359.0
1648,COVIDhub-ensemble,1089,2020-09-07,2020-09-28,cases,328.0
1656,COVIDhub-ensemble,1089,2020-09-07,2020-10-05,cases,353.0
1664,COVIDhub-ensemble,1091,2020-09-07,2020-09-14,cases,13.0
1672,COVIDhub-ensemble,1091,2020-09-07,2020-09-21,cases,14.0
1680,COVIDhub-ensemble,1091,2020-09-07,2020-09-28,cases,13.0
1688,COVIDhub-ensemble,1091,2020-09-07,2020-10-05,cases,14.0
1696,COVIDhub-ensemble,1093,2020-09-07,2020-09-14,cases,20.0
1704,COVIDhub-ensemble,1093,2020-09-07,2020-09-21,cases,21.0
1712,COVIDhub-ensemble,1093,2020-09-07,2020-09-28,cases,20.0
