date,state_code,county_name,fips_code,acute_staffed,acute_occupied,icu_staffed,icu_occupied,ventilators,ventilators_occupied,covid_confirmed,covid_suspected,covid_icu,covid_ventilator
2020-04-09,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-09,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-09,NV,Washoe,32031,1447,876,156,81,201,51,0,59,40,19
2020-04-09,NV,White Pine,32033,25,4,2,0,5,0,0,2,0,0
2020-04-10,NV,Carson City,32510,188,90,24,14,22,3,0,43,0,0
2020-04-10,NV,Churchill,32001,25,19,2,0,4,0,0,0,0,0
2020-04-10,NV,Clark,32003,5459,3537,650,509,812,398,0,43,173,141
2020-04-10,NV,Douglas,32005,23,6,4,0,4,0,0,0,0,0
2020-04-10,NV,Elko,32007,75,8,7,2,6,0,0,0,0,0
2020-04-10,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-10,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-10,NV,Humboldt,32013,25,9,3,2,3,0,0,3,2,0
2020-04-10,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-10,NV,Lincoln,32017,4,3,0,0,0,0,0,0,0,0
2020-04-10,NV,Lyon,32019,14,1,0,0,0,0,0,0,0,0
2020-04-10,NV,Mineral,32021,11,9,0,0,1,0,0,1,0,0
2020-04-10,NV,Nye,32023,25,11,0,0,6,0,0,0,0,0
2020-04-10,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-10,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-10,NV,Washoe,32031,1255,843,148,66,174,51,0,59,20,22
2020-04-10,NV,White Pine,32033,25,4,2,0,5,0,0,2,0,0
2020-04-11,NV,Carson City,32510,188,85,24,13,22,5,0,43,1,0
2020-04-11,NV,Churchill,32001,25,15,2,1,4,0,0,0,1,0
2020-04-11,NV,Clark,32003,4956,3148,608,472,753,380,0,43,170,121
2020-04-11,NV,Douglas,32005,23,6,4,0,4,0,0,0,0,0
2020-04-11,NV,Elko,32007,75,9,7,0,6,0,0,0,0,0
2020-04-11,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-11,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-11,NV,Humboldt,32013,25,15,3,0,3,0,0,3,0,0
2020-04-11,NV,Lander,32015,0,0,0,0,0,0,0,0,0,0
2020-04-11,NV,Lincoln,32017,4,3,0,0,3,0,0,0,0,0
2020-04-11,NV,Lyon,32019,14,1,0,0,0,0,0,0,0,0
2020-04-11,NV,Mineral,32021,11,7,0,0,1,0,0,1,0,0
2020-04-11,NV,Nye,32023,25,8,0,0,6,0,0,0,0,0
2020-04-11,NV,Pershing,32027,0,0,0,0,0,0,0,0,0,0
2020-04-11,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-11,NV,Washoe,32031,1381,771,162,86,189,50,0,59,33,24
2020-04-11,NV,White Pine,32033,25,2,2,0,5,0,0,2,0,0
2020-04-12,NV,Carson City,32510,188,102,24,12,22,3,0,43,0,0
2020-04-12,NV,Churchill,32001,25,13,2,2,4,0,0,0,0,0
2020-04-12,NV,Clark,32003,3895,2481,477,372,628,309,0,43,150,102
2020-04-12,NV,Douglas,32005,23,6,4,0,4,0,0,0,0,0
2020-04-12,NV,Elko,32007,75,75,7,1,6,1,0,0,1,1
2020-04-12,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-12,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-12,NV,Humboldt,32013,25,12,3,0,3,0,0,3,0,0
2020-04-12,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-12,NV,Lincoln,32017,4,3,0,0,3,0,0,0,0,0
2020-04-12,NV,Lyon,32019,14,1,0,0,0,0,0,0,0,0
2020-04-12,NV,Mineral,32021,11,6,0,0,1,0,0,1,0,0
2020-04-12,NV,Nye,32023,25,5,0,0,6,0,0,0,0,0
2020-04-12,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-12,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-12,NV,Washoe,32031,1406,769,162,82,192,42,0,59,31,19
2020-04-12,NV,White Pine,32033,25,1,2,0,5,0,0,2,0,0
2020-04-13,NV,Carson City,32510,188,81,24,11,22,0,0,43,1,0
2020-04-13,NV,Churchill,32001,25,12,4,2,4,0,0,0,0,0
2020-04-13,NV,Clark,32003,5235,3319,606,472,748,350,0,43,153,110
2020-04-13,NV,Douglas,32005,23,12,0,0,0,0,0,0,0,0
2020-04-13,NV,Elko,32007,75,10,7,1,6,1,0,0,0,0
2020-04-13,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-13,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-13,NV,Humboldt,32013,25,12,3,2,3,0,0,3,2,0
2020-04-13,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-13,NV,Lincoln,32017,4,3,0,0,3,0,0,0,0,0
2020-04-13,NV,Lyon,32019,14,1,0,0,0,0,0,0,0,0
2020-04-13,NV,Mineral,32021,11,8,0,0,1,0,0,1,0,0
2020-04-13,NV,Nye,32023,25,11,0,0,6,0,0,0,0,0
2020-04-13,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-13,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-13,NV,Washoe,32031,1497,813,162,70,192,44,0,59,21,17
2020-04-13,NV,White Pine,32033,25,1,2,0,5,0,0,2,0,0
2020-04-14,NV,Carson City,32510,188,87,24,10,22,6,2,8,1,1
2020-04-14,NV,Churchill,32001,25,12,2,1,4,0,0,0,0,0
2020-04-14,NV,Clark,32003,5534,3559,655,519,797,386,329,244,178,131
2020-04-14,NV,Douglas,32005,23,11,4,2,4,1,0,1,0,0
2020-04-14,NV,Elko,32007,75,8,7,1,6,0,0,2,0,0
2020-04-14,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-14,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-14,NV,Humboldt,32013,25,12,3,2,3,0,2,2,2,0
2020-04-14,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-14,NV,Lincoln,32017,4,3,0,0,3,0,0,1,0,0
2020-04-14,NV,Lyon,32019,14,1,0,0,0,0,0,0,0,0
2020-04-14,NV,Mineral,32021,11,11,0,0,1,0,0,0,0,0
2020-04-14,NV,Nye,32023,25,11,0,0,6,0,0,1,0,0
2020-04-14,NV,Pershing,32027,0,0,0,0,0,0,0,0,0,0
2020-04-14,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-14,NV,Washoe,32031,1381,821,162,79,196,48,62,31,29,20
2020-04-14,NV,White Pine,32033,0,0,0,0,0,0,0,0,0,0
2020-04-15,NV,Carson City,32510,188,96,24,11,22,5,3,8,1,1
2020-04-15,NV,Churchill,32001,25,12,4,1,4,0,0,0,0,0
2020-04-15,NV,Clark,32003,5539,3500,651,502,797,384,327,228,156,126
2020-04-15,NV,Douglas,32005,19,9,4,2,4,0,0,1,0,0
2020-04-15,NV,Elko,32007,75,5,7,1,6,0,0,1,0,0
2020-04-15,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-15,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-15,NV,Humboldt,32013,25,11,3,1,3,1,1,2,1,1
2020-04-15,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-15,NV,Lincoln,32017,4,3,0,0,3,0,0,1,0,0
2020-04-15,NV,Lyon,32019,14,3,0,0,0,0,0,1,0,0
2020-04-15,NV,Mineral,32021,11,9,0,0,1,0,0,0,0,0
2020-04-15,NV,Nye,32023,25,10,0,0,6,0,0,3,0,0
2020-04-15,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-15,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-15,NV,Washoe,32031,1497,795,162,78,196,52,62,58,21,15
2020-04-15,NV,White Pine,32033,25,2,2,0,5,0,0,0,0,0
2020-04-16,NV,Carson City,32510,188,101,24,12,22,6,4,3,1,1
2020-04-16,NV,Churchill,32001,25,14,4,1,4,0,0,0,0,0
2020-04-16,NV,Clark,32003,5599,3601,653,506,798,370,322,213,160,121
2020-04-16,NV,Douglas,32005,19,11,4,2,4,0,0,2,0,0
2020-04-16,NV,Elko,32007,75,7,7,1,6,0,0,0,0,0
2020-04-16,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-16,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-16,NV,Humboldt,32013,25,12,3,1,7,1,1,0,1,1
2020-04-16,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-16,NV,Lincoln,32017,4,2,0,0,3,0,0,0,0,0
2020-04-16,NV,Lyon,32019,14,2,0,0,0,0,0,1,0,0
2020-04-16,NV,Mineral,32021,11,8,0,0,1,0,0,0,0,0
2020-04-16,NV,Nye,32023,25,15,0,0,6,0,0,7,0,0
2020-04-16,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-16,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-16,NV,Washoe,32031,1497,824,162,80,196,57,71,49,25,21
2020-04-16,NV,White Pine,32033,25,6,2,0,5,0,0,0,0,0
