,Unnamed: 0,geo_value,date,direction,issue,lag,smoothed_adj_doctor_visits,stderr,sample_size,fips,aggregate_level,state
71,20,md,2020-02-02,,2020-06-09,128,0.29517600000000005,,,24,state,MD
72,21,me,2020-02-02,,2020-06-09,128,0.0,,,23,state,ME
73,22,mi,2020-02-02,,2020-06-09,128,0.267311,,,26,state,MI
74,23,mn,2020-02-02,,2020-06-09,128,0.0,,,27,state,MN
75,24,mo,2020-02-02,,2020-06-09,128,0.19481500000000002,,,29,state,MO
76,25,ms,2020-02-02,,2020-06-09,128,0.19498900000000002,,,28,state,MS
77,26,mt,2020-02-02,,2020-06-09,128,0.0,,,30,state,MT
78,27,nc,2020-02-02,,2020-06-09,128,0.041507,,,37,state,NC
79,28,nd,2020-02-02,,2020-06-09,128,0.0,,,38,state,ND
80,29,ne,2020-02-02,,2020-06-09,128,0.065232,,,31,state,NE
81,30,nh,2020-02-02,,2020-06-09,128,0.11085899999999999,,,33,state,NH
82,31,nj,2020-02-02,,2020-06-09,128,0.362818,,,34,state,NJ
83,32,nm,2020-02-02,,2020-06-09,128,0.0,,,35,state,NM
84,33,nv,2020-02-02,,2020-06-09,128,0.055810000000000005,,,32,state,NV
85,34,ny,2020-02-02,,2020-06-09,128,0.311116,,,36,state,NY
86,35,oh,2020-02-02,,2020-06-09,128,0.12518800000000002,,,39,state,OH
87,36,ok,2020-02-02,,2020-06-09,128,0.089959,,,40,state,OK
88,37,or,2020-02-02,,2020-06-09,128,0.0,,,41,state,OR
89,38,pa,2020-02-02,,2020-06-09,128,0.24348499999999998,,,42,state,PA
90,39,ri,2020-02-02,,2020-06-09,128,0.0,,,44,state,RI
91,40,sc,2020-02-02,,2020-06-09,128,0.08682899999999999,,,45,state,SC
92,41,sd,2020-02-02,,2020-06-09,128,0.0,,,46,state,SD
93,42,tn,2020-02-02,,2020-06-09,128,0.31003000000000003,,,47,state,TN
94,43,tx,2020-02-02,,2020-06-09,128,0.171434,,,48,state,TX
95,44,ut,2020-02-02,,2020-06-09,128,0.042616,,,49,state,UT
96,45,va,2020-02-02,,2020-06-09,128,0.247173,,,51,state,VA
97,46,vt,2020-02-02,,2020-06-09,128,0.0,,,50,state,VT
98,47,wa,2020-02-02,,2020-06-09,128,0.06838999999999999,,,53,state,WA
99,48,wi,2020-02-02,,2020-06-09,128,0.100755,,,55,state,WI
100,49,wv,2020-02-02,,2020-06-09,128,0.0,,,54,state,WV
101,50,wy,2020-02-02,,2020-06-09,128,0.0,,,56,state,WY
102,0,ak,2020-02-03,0.0,2020-06-09,127,0.22779000000000002,,,02,state,AK
103,1,al,2020-02-03,0.0,2020-06-09,127,0.048417,,,01,state,AL
104,2,ar,2020-02-03,0.0,2020-06-09,127,0.18019200000000002,,,05,state,AR
105,3,az,2020-02-03,0.0,2020-06-09,127,0.075132,,,04,state,AZ
106,4,ca,2020-02-03,0.0,2020-06-09,127,0.153999,,,06,state,CA
107,5,co,2020-02-03,0.0,2020-06-09,127,0.198206,,,08,state,CO
108,6,ct,2020-02-03,0.0,2020-06-09,127,0.18218399999999998,,,09,state,CT
109,7,dc,2020-02-03,0.0,2020-06-09,127,0.0,,,11,state,DC
